e1	e2	e3	cumvol
2.8021E+00	8.4542E-01	3.4631E-01	3.3671268102016E-05
2.8072E+00	8.3318E-01	3.5640E-01	5.8899287707151E-05
2.9433E+00	7.9069E-01	1.0214E+00	8.3822129655773E-05
4.5732E-02	4.1417E-01	3.0245E-01	1.0874497160440E-04
2.2377E-01	6.2616E-01	4.2833E-02	1.8046172088512E-04
1.2630E-01	2.3475E+00	6.5581E-01	2.0833461351338E-04
1.4152E-01	4.1436E-01	9.5082E-01	2.6397867288438E-04
1.8769E-01	7.2284E-01	6.4314E-01	3.6438212187740E-04
4.3412E-01	5.4662E-01	5.8692E-01	4.1860201885134E-04
2.8044E+00	8.4989E-01	3.4676E-01	4.5125602809831E-04
4.0633E-01	2.7424E+00	5.2069E-01	5.1381744768363E-04
1.2682E+00	4.2410E-01	2.4798E-01	5.7058049179519E-04
2.7173E+00	6.3537E-01	7.0963E-01	5.9906373973647E-04
3.7058E-03	6.0738E-01	3.4128E-01	6.1442434844766E-04
2.5716E+00	2.5712E+00	1.0271E+00	7.1167429499004E-04
3.0985E-01	2.1178E+00	8.5010E-01	7.6721662847554E-04
3.1137E+00	2.5775E+00	6.3085E-01	1.0516411870875E-03
1.9511E+00	4.5403E-01	3.4615E-02	1.1942028948102E-03
2.9166E+00	5.8987E-01	8.8240E-01	1.3900120000414E-03
2.1019E+00	2.5803E+00	5.3584E-01	1.3903120914036E-03
2.7915E+00	2.2361E+00	1.2778E-01	1.4846119872664E-03
3.0830E+00	2.2990E+00	3.4863E-01	1.6043647169412E-03
7.8005E-03	2.4881E+00	3.2776E-01	1.8256917605512E-03
2.9983E+00	2.3288E+00	6.8102E-02	1.9036137888477E-03
2.3737E+00	2.4965E+00	5.5009E-01	2.0406741606823E-03
2.8423E+00	2.3457E+00	1.1139E-01	2.1576375665766E-03
5.7948E-01	2.5857E+00	2.4737E-01	2.2068728951609E-03
6.0554E-01	6.1264E-01	5.8495E-01	2.3329346642547E-03
2.9754E+00	2.2642E+00	3.4165E-01	2.3358338519916E-03
2.6939E+00	5.6261E-01	6.1012E-02	2.4659738118353E-03
3.0334E+00	2.3756E+00	4.2565E-02	2.5820664441497E-03
1.5311E-01	9.9344E-01	5.2636E-01	2.5994615705710E-03
2.0804E-01	5.3795E-01	7.3836E-01	2.7930672931221E-03
3.0432E+00	2.1440E+00	2.1883E-01	2.9688058811433E-03
2.9526E+00	2.3213E+00	1.1920E-01	3.1157804577792E-03
2.9547E+00	2.5745E+00	5.5388E-01	3.1596243144316E-03
3.0323E+00	2.5485E+00	5.4847E-01	3.3980565656892E-03
1.8246E+00	6.2064E-01	7.1256E-01	3.4254208288900E-03
2.4141E+00	2.7751E+00	1.3403E-01	3.4547178839153E-03
1.2877E-01	5.7051E-01	8.8809E-01	3.5774003190927E-03
4.3308E-02	6.4603E-01	6.2842E-01	3.8469118628897E-03
2.9355E+00	2.4524E+00	3.4072E-01	3.9191372415979E-03
2.7042E+00	8.8237E-01	5.4166E-01	3.9337857691106E-03
2.8358E-01	2.4761E+00	2.7664E-01	4.0715317734135E-03
2.9138E+00	6.1362E-01	7.9426E-01	4.1611522785430E-03
2.9770E+00	5.6179E-01	6.2820E-01	4.3303712545621E-03
1.2063E-01	9.3658E-01	5.4627E-01	4.5971168715323E-03
3.0515E+00	2.4168E+00	8.2179E-01	4.8276317971211E-03
2.2878E+00	2.4415E+00	4.0446E-01	5.1174641038064E-03
1.4819E-01	2.8583E-01	1.1498E-01	5.1292643065250E-03
2.7868E+00	2.6817E+00	6.9919E-02	5.3104157289138E-03
5.3264E-02	8.2484E-01	9.7464E-01	5.3610752198951E-03
2.3298E+00	3.8183E-01	1.7885E-01	5.4261797866180E-03
2.9845E-01	7.1627E-01	5.7339E-01	5.5542699698688E-03
3.9142E-01	2.7168E+00	7.3606E-01	5.5719702739466E-03
8.6228E-01	2.7960E+00	2.7402E-01	6.0196119813329E-03
2.6187E+00	2.6599E-01	3.9847E-01	6.3267356540364E-03
3.1268E+00	2.8726E+00	4.9447E-01	6.6186675829986E-03
