ID;ID;phi1;PHI;phi2;q0;q1;q2;q3;phi1;PHI;phi2;q0B;q1B;q2B;q3B;misorientationCubicEulerAB;misoriQxQAB;misoriQuatCubic0;misoriQuatCubic1;misoriQuatCubic2;misoriQuatCubic3
ID;0;0.38674;1.35106;6.08507;-0.776907;-0.598765;-0.180263;-0.0734911;0.38674;1.35106;6.08507;-0.776907;-0.598765;-0.180263;-0.0734911;2.98023e-08;2.98023e-08;1;5.89806e-17;4.16334e-17;1.38778e-17
ID;1;0.642852;1.2142;5.8561;-0.816532;-0.49078;-0.290843;-0.0884325;0.642852;1.2142;5.8561;-0.816532;-0.49078;-0.290843;-0.0884325;2.98023e-08;2.98023e-08;1;1.38778e-17;0;0
ID;2;0.694154;0.888836;5.77125;-0.899116;-0.354098;-0.243836;-0.082147;0.694154;0.888836;5.77125;-0.899116;-0.354098;-0.243836;-0.082147;0;0;1;3.1225e-17;1.38778e-17;0
ID;3;0.683144;0.691819;5.72112;-0.939044;-0.275434;-0.197719;-0.0569199;0.683144;0.691819;5.72112;-0.939044;-0.275434;-0.197719;-0.0569199;2.98023e-08;2.98023e-08;1;7.97973e-17;5.89806e-17;1.38778e-17
ID;4;0.537603;0.991762;5.74632;-0.87955;-0.408779;-0.243499;-0.000325864;0.537603;0.991762;5.74632;-0.87955;-0.408779;-0.243499;-0.000325864;0;0;1;1.66561e-16;8.20741e-17;6.66784e-18
ID;5;0.801657;0.931724;5.59425;-0.892016;-0.330107;-0.304638;-0.0503294;0.801657;0.931724;5.59425;-0.892016;-0.330107;-0.304638;-0.0503294;0;0;1;1.04083e-17;0;0
ID;6;0.777102;1.77727;5.59075;-0.629909;-0.575936;-0.520385;-0.0266808;0.777102;1.77727;5.59075;-0.629909;-0.575936;-0.520385;-0.0266808;4.21468e-08;4.21468e-08;1;1.73472e-17;1.38778e-17;0
ID;7;0.704739;1.63443;5.75383;-0.681626;-0.594763;-0.421962;-0.0599259;0.704739;1.63443;5.75383;-0.681626;-0.594763;-0.421962;-0.0599259;2.98023e-08;2.98023e-08;1;2.08167e-17;6.93889e-18;0
ID;8;0.679586;1.37469;5.75161;-0.770817;-0.521657;-0.361177;-0.0571476;0.679586;1.37469;5.75161;-0.770817;-0.521657;-0.361177;-0.0571476;2.98023e-08;2.98023e-08;1;4.23273e-16;7.97973e-17;6.93889e-18
ID;9;1.21238;1.62177;5.99526;-0.61657;-0.530324;-0.494198;-0.307189;1.21238;1.62177;5.99526;-0.61657;-0.530324;-0.494198;-0.307189;0;0;1;2.77556e-17;0;0
ID;10;0.622513;0.62779;5.77874;-0.949481;-0.261031;-0.164921;-0.0561161;0.622513;0.62779;5.77874;-0.949481;-0.261031;-0.164921;-0.0561161;0;0;1;8.84709e-17;6.59195e-17;0
ID;11;0.856429;1.72105;5.86826;-0.636217;-0.610088;-0.450152;-0.142772;0.856429;1.72105;5.86826;-0.636217;-0.610088;-0.450152;-0.142772;0;0;1;1.38778e-17;0;0
ID;12;0.47512;1.33511;6.22268;-0.768522;-0.597;-0.163819;-0.161643;0.47512;1.33511;6.22268;-0.768522;-0.597;-0.163819;-0.161643;0;0;1;0;0;0
ID;13;0.101487;0.612934;6.22584;-0.953173;-0.300741;-0.0239346;-0.0210386;0.101487;0.612934;6.22584;-0.953173;-0.300741;-0.0239346;-0.0210386;2.98023e-08;2.98023e-08;1;1.73472e-18;0;0
ID;14;0.88789;1.63235;5.97117;-0.656813;-0.601301;-0.41133;-0.194528;0.88789;1.63235;5.97117;-0.656813;-0.601301;-0.41133;-0.194528;0;0;1;1.38778e-17;0;0
ID;15;0.899094;1.08351;5.74155;-0.843156;-0.387538;-0.340147;-0.152322;0.899094;1.08351;5.74155;-0.843156;-0.387538;-0.340147;-0.152322;0;0;1;6.245e-17;5.55112e-17;0
ID;16;1.06071;1.23828;6.04371;-0.746683;-0.461961;-0.351252;-0.325082;1.06071;1.23828;6.04371;-0.746683;-0.461961;-0.351252;-0.325082;2.98023e-08;2.98023e-08;1;6.93889e-17;2.77556e-17;2.77556e-17
ID;17;1.06769;1.08657;5.81907;-0.81733;-0.372593;-0.358345;-0.254431;1.06769;1.08657;5.81907;-0.81733;-0.372593;-0.358345;-0.254431;0;0;1;1.38778e-17;0;0
ID;18;0.770371;1.12658;5.59186;-0.844843;-0.397598;-0.356426;-0.0334073;0.770371;1.12658;5.59186;-0.844843;-0.397598;-0.356426;-0.0334073;0;0;1;3.46945e-18;0;0
ID;19;0.348153;1.18763;6.04483;-0.827564;-0.535639;-0.161742;-0.0454777;0.348153;1.18763;6.04483;-0.827564;-0.535639;-0.161742;-0.0454777;0;0;1;1.04083e-17;0;0
ID;20;0.810377;1.15024;5.95296;-0.81506;-0.457853;-0.293663;-0.199526;0.810377;1.15024;5.95296;-0.81506;-0.457853;-0.293663;-0.199526;2.98023e-08;2.98023e-08;1;1.38778e-17;0;0
ID;21;0.604669;1.52559;5.87606;-0.719386;-0.604396;-0.334826;-0.071287;0.604669;1.52559;5.87606;-0.719386;-0.604396;-0.334826;-0.071287;0;0;1;1.38778e-17;6.93889e-18;0
ID;22;0.911239;1.29409;5.63658;-0.790893;-0.429019;-0.423496;-0.105265;0.911239;1.29409;5.63658;-0.790893;-0.429019;-0.423496;-0.105265;2.98023e-08;2.98023e-08;1;6.93889e-18;0;0
ID;23;0.127283;0.816013;6.18707;-0.917802;-0.394308;-0.0442281;-0.0143036;0.127283;0.816013;6.18707;-0.917802;-0.394308;-0.0442281;-0.0143036;0;0;1;5.56196e-17;1.73472e-18;0
ID;24;0.745627;1.65827;5.66062;-0.674237;-0.571436;-0.465983;-0.041538;0.745627;1.65827;5.66062;-0.674237;-0.571436;-0.465983;-0.041538;2.98023e-08;2.98023e-08;1;1.04083e-17;6.93889e-18;0
ID;25;0.534275;1.33402;6.08592;-0.774547;-0.577716;-0.221268;-0.131765;0.534275;1.33402;6.08592;-0.774547;-0.577716;-0.221268;-0.131765;0;0;1;1.38778e-17;0;0
ID;26;0.676762;1.36844;5.94877;-0.763587;-0.55299;-0.306125;-0.131997;0.676762;1.36844;5.94877;-0.763587;-0.55299;-0.306125;-0.131997;2.98023e-08;2.98023e-08;1;2.77556e-17;2.77556e-17;6.93889e-18
