ID;ID;phi1A;PHIA;phi2A;phi1B;PHIB;phi2B;q0A;q1A;q2A;q3A;q0B;q1B;q2B;q3B;misorientationCubicEulerAB;misoriQxQAB;misoriQuatCubic0;misoriQuatCubic1;misoriQuatCubic2;misoriQuatCubic3
ID;0;0.38674;1.35106;6.08507;0.642852;1.2142;5.8561;-0.776907;-0.598765;-0.180263;-0.0734911;-0.816532;-0.49078;-0.290843;-0.0884325;0.320856;0.320856;0.987159;0.102187;0.0956497;0.076981
ID;1;0.694154;0.888836;5.77125;0.683144;0.691819;5.72112;-0.899116;-0.354098;-0.243836;-0.082147;-0.939044;-0.275434;-0.197719;-0.0569199;0.205474;0.205474;0.994727;0.0825041;0.0536715;0.0288133
ID;2;0.537603;0.991762;5.74632;0.801657;0.931724;5.59425;-0.87955;-0.408779;-0.243499;-0.000325864;-0.892016;-0.330107;-0.304638;-0.0503294;0.224466;0.224466;0.993708;0.0864477;0.0712052;0.00017231
ID;3;0.777102;1.77727;5.59075;0.704739;1.63443;5.75383;-0.629909;-0.575936;-0.520385;-0.0266808;-0.681626;-0.594763;-0.421962;-0.0599259;0.235264;0.235264;0.993089;0.0860441;0.0702653;0.0378524
ID;4;0.679586;1.37469;5.75161;1.21238;1.62177;5.99526;-0.770817;-0.521657;-0.361177;-0.0571476;-0.61657;-0.530324;-0.494198;-0.307189;0.648069;0.648069;0.947959;0.288187;0.13529;0.00443755
ID;5;0.622513;0.62779;5.77874;0.856429;1.72105;5.86826;-0.949481;-0.261031;-0.164921;-0.0561161;-0.636217;-0.610088;-0.450152;-0.142772;0.941182;0.941182;0.8913;0.304529;0.288844;0.171506
ID;6;0.47512;1.33511;6.22268;0.101487;0.612934;6.22584;-0.768522;-0.597;-0.163819;-0.161643;-0.953173;-0.300741;-0.0239346;-0.0210386;0.808495;0.808495;0.919399;0.337496;0.173806;0.102927
ID;7;0.88789;1.63235;5.97117;0.899094;1.08351;5.74155;-0.656813;-0.601301;-0.41133;-0.194528;-0.843156;-0.387538;-0.340147;-0.152322;0.592987;0.592987;0.956367;0.248937;0.109095;0.107197
ID;8;1.06071;1.23828;6.04371;1.06769;1.08657;5.81907;-0.746683;-0.461961;-0.351252;-0.325082;-0.81733;-0.372593;-0.358345;-0.254431;0.268675;0.268675;0.99099;0.110387;0.0722437;0.0231049
ID;9;0.770371;1.12658;5.59186;0.348153;1.18763;6.04483;-0.844843;-0.397598;-0.356426;-0.0334073;-0.827564;-0.535639;-0.161742;-0.0454777;0.480326;0.480326;0.971299;0.158132;0.137382;0.112686
ID;10;0.810377;1.15024;5.95296;0.604669;1.52559;5.87606;-0.81506;-0.457853;-0.293663;-0.199526;-0.719386;-0.604396;-0.334826;-0.071287;0.442571;0.442571;0.975616;0.209118;0.0612457;0.0263069
ID;11;0.911239;1.29409;5.63658;0.127283;0.816013;6.18707;-0.790893;-0.429019;-0.423496;-0.105265;-0.917802;-0.394308;-0.0442281;-0.0143036;0.793493;0.793493;0.922323;0.372086;0.103248;0.014558
ID;12;0.745627;1.65827;5.66062;0.534275;1.33402;6.08592;-0.674237;-0.571436;-0.465983;-0.041538;-0.774547;-0.577716;-0.221268;-0.131765;0.560864;0.560864;0.960936;0.199433;0.160441;0.105296
ID;13;0.676762;1.36844;5.94877;1.50118;1.50748;6.22195;-0.763587;-0.55299;-0.306125;-0.131997;-0.548181;-0.485948;-0.481888;-0.480766;0.808756;0.808756;0.919347;0.351022;0.13624;0.114119
ID;14;0.751747;0.517733;5.60179;0.26388;1.00912;6.08054;-0.966083;-0.193028;-0.168132;-0.0339951;-0.874976;-0.470331;-0.111745;-0.0267973;0.596952;0.596952;0.955786;0.284777;0.0536512;0.0499725
ID;15;1.02744;1.58982;5.7654;0.731747;0.977841;5.67018;-0.677733;-0.511145;-0.498238;-0.176544;-0.881285;-0.367446;-0.292534;-0.0523834;0.695783;0.695783;0.940094;0.278924;0.175888;0.0865359
ID;16;0.193728;1.14909;6.21563;0.561778;0.472801;5.81598;-0.837771;-0.53882;-0.0707953;-0.0529225;-0.971101;-0.203885;-0.11525;-0.0459538;0.730646;0.730646;0.934008;0.349593;0.0605594;0.0417747
ID;17;0.289218;1.17904;6.20103;0.357607;0.850519;6.07688;-0.826757;-0.546405;-0.102642;-0.0859034;-0.908326;-0.396267;-0.114787;-0.0688492;0.344714;0.344714;0.985183;0.165904;0.0431533;0.00524733
ID;18;0.716352;1.56631;6.21692;0.381494;0.860798;6.08991;-0.671582;-0.652189;-0.269082;-0.226322;-0.904778;-0.400122;-0.118263;-0.0853998;0.806766;0.806766;0.919738;0.317585;0.198896;0.116882
ID;19;0.876987;1.55655;6.07858;1.32867;1.56761;6.11897;-0.672259;-0.601869;-0.361428;-0.234927;-0.591545;-0.518265;-0.479382;-0.389447;0.453937;0.453937;0.974353;0.22111;0.0357616;0.0216298
ID;20;0.708199;1.20934;5.80951;0.708869;1.46265;5.70154;-0.81704;-0.472085;-0.316728;-0.0962502;-0.742784;-0.533582;-0.401651;-0.0473146;0.27519;0.27519;0.990549;0.108973;0.0638841;0.0534487
ID;21;0.425142;1.16297;6.12406;0.920564;1.41893;5.89291;-0.828266;-0.525995;-0.158187;-0.11082;-0.732197;-0.516447;-0.39704;-0.198819;0.546177;0.546177;0.962943;0.260376;0.0551727;0.0436134
ID;22;1.10458;1.60241;6.03022;1.47666;1.56378;6.26427;-0.633708;-0.559;-0.450912;-0.287422;-0.529296;-0.516625;-0.479156;-0.472603;0.438081;0.438081;0.976106;0.180675;0.112465;0.0438692
ID;23;0.753121;1.33186;5.59619;0.63933;0.632771;5.72267;-0.785913;-0.464436;-0.407388;-0.0259957;-0.949628;-0.256803;-0.175659;-0.0374426;0.707222;0.707222;0.938128;0.249904;0.2381;0.0277765
