ID;ID;phi1A;PHIA;phi2A;u;v;w;randomAngle;eulRot[0];eulRot[1];eulRot[2]
ID;0;0.38674;1.35106;6.08507;0.424361;0.473585;0.771774;0.782106;1.00122;1.83568;6.01443
ID;1;0.407766;1.38278;6.24039;0.620566;0.772763;0.133173;0.571899;0.468649;1.89419;5.99299
ID;2;1.27533;1.37198;6.05297;0.0946214;0.27063;0.958022;0.549029;1.79659;1.52058;6.0995
ID;3;0.972899;1.54187;5.87071;0.650244;0.117286;0.750618;0.720555;1.55889;1.76362;0.00442021
ID;4;0.767008;1.17418;6.06173;0.609441;0.792358;0.0273932;0.0884362;0.774127;1.26166;6.04816
ID;5;0.538525;1.28821;5.99558;0.689212;0.723106;0.0458806;0.635027;0.564534;1.90289;5.8363
ID;6;0.435805;0.905;6.12765;0.501602;0.782021;0.369916;0.0220686;0.452323;0.92241;6.11398
ID;7;0.945162;1.11028;5.67715;0.806442;0.522355;0.277123;0.598555;1.06619;1.63484;5.91911
ID;8;0.701249;1.40345;6.20169;0.92096;0.388319;0.0322625;0.206086;0.703652;1.60008;6.26328
ID;9;1.08359;1.06041;5.83813;0.44993;0.77581;0.442359;1.05061;1.56887;1.96165;6.08865
ID;10;0.410749;1.25315;5.99021;0.977775;0.0622503;0.2002;0.410566;0.47428;1.62747;6.13938
ID;11;0.900375;1.39331;5.7413;0.656897;0.69769;0.28586;0.199503;0.955798;1.58326;5.76282
ID;12;0.952567;1.78088;5.81882;0.950325;0.119582;0.287372;0.0295301;0.965729;1.79989;5.84028
ID;13;0.526481;0.805203;6.06008;0.634332;0.463589;0.618634;0.728172;0.955892;1.36915;6.12952
ID;14;0.791687;1.5725;6.25547;0.3059;0.55655;0.772449;0.339892;1.05183;1.78544;6.22393
ID;15;0.643916;1.69853;5.69404;0.713646;0.301491;0.632308;0.568934;1.07622;2.09269;5.89824
ID;16;1.17712;1.31735;6.00938;0.0913727;0.962516;0.255369;0.572275;1.32504;1.85688;5.88748
ID;17;1.18466;1.66927;6.04296;0.681563;0.524494;0.510272;0.505598;1.52388;2.00375;0.0474371
ID;18;0.690012;1.14678;6.11985;0.287724;0.892364;0.347709;0.733801;0.987504;1.77728;5.84296
ID;19;0.219655;1.50542;6.27348;0.915486;0.314696;0.250702;0.116578;0.249013;1.61774;6.26259
ID;20;0.213263;1.1005;6.14165;0.823071;0.438546;0.360876;0.298274;0.342048;1.37241;6.07994
ID;21;0.683441;1.45541;5.8863;0.059563;0.767486;0.638292;0.0309984;0.705067;1.47205;5.8691
ID;22;1.06831;1.27732;6.01609;0.483261;0.479711;0.73235;0.5763;1.47327;1.62211;6.19951
ID;23;0.983637;1.2833;5.77531;0.604984;0.281079;0.744976;0.799055;1.54991;1.64145;6.16363
