ID;ID;phi1A;PHIA;phi2A;phi1B;PHIB;phi2B;q0A;q1A;q2A;q3A;q0B;q1B;q2B;q3B;distanceAB
ID;0;0.38674;1.35106;6.08507;0.642852;1.2142;5.8561;-0.776907;-0.598765;-0.180263;-0.0734911;-0.816532;-0.49078;-0.290843;-0.0884325;0.160428
ID;1;0.694154;0.888836;5.77125;0.683144;0.691819;5.72112;-0.899116;-0.354098;-0.243836;-0.082147;-0.939044;-0.275434;-0.197719;-0.0569199;0.102737
ID;2;0.537603;0.991762;5.74632;0.801657;0.931724;5.59425;-0.87955;-0.408779;-0.243499;-0.000325864;-0.892016;-0.330107;-0.304638;-0.0503294;0.112233
ID;3;0.777102;1.77727;5.59075;0.704739;1.63443;5.75383;-0.629909;-0.575936;-0.520385;-0.0266808;-0.681626;-0.594763;-0.421962;-0.0599259;0.117632
ID;4;0.679586;1.37469;5.75161;1.21238;1.62177;5.99526;-0.770817;-0.521657;-0.361177;-0.0571476;-0.61657;-0.530324;-0.494198;-0.307189;0.324034
ID;5;0.622513;0.62779;5.77874;0.856429;1.72105;5.86826;-0.949481;-0.261031;-0.164921;-0.0561161;-0.636217;-0.610088;-0.450152;-0.142772;0.563147
ID;6;0.47512;1.33511;6.22268;0.101487;0.612934;6.22584;-0.768522;-0.597;-0.163819;-0.161643;-0.953173;-0.300741;-0.0239346;-0.0210386;0.404247
ID;7;0.88789;1.63235;5.97117;0.899094;1.08351;5.74155;-0.656813;-0.601301;-0.41133;-0.194528;-0.843156;-0.387538;-0.340147;-0.152322;0.296494
ID;8;1.06071;1.23828;6.04371;1.06769;1.08657;5.81907;-0.746683;-0.461961;-0.351252;-0.325082;-0.81733;-0.372593;-0.358345;-0.254431;0.134338
ID;9;0.770371;1.12658;5.59186;0.348153;1.18763;6.04483;-0.844843;-0.397598;-0.356426;-0.0334073;-0.827564;-0.535639;-0.161742;-0.0454777;0.240163
ID;10;0.810377;1.15024;5.95296;0.604669;1.52559;5.87606;-0.81506;-0.457853;-0.293663;-0.199526;-0.719386;-0.604396;-0.334826;-0.071287;0.221286
ID;11;0.911239;1.29409;5.63658;0.127283;0.816013;6.18707;-0.790893;-0.429019;-0.423496;-0.105265;-0.917802;-0.394308;-0.0442281;-0.0143036;0.41458
ID;12;0.745627;1.65827;5.66062;0.534275;1.33402;6.08592;-0.674237;-0.571436;-0.465983;-0.041538;-0.774547;-0.577716;-0.221268;-0.131765;0.280432
ID;13;0.676762;1.36844;5.94877;1.50118;1.50748;6.22195;-0.763587;-0.55299;-0.306125;-0.131997;-0.548181;-0.485948;-0.481888;-0.480766;0.454942
ID;14;0.751747;0.517733;5.60179;0.26388;1.00912;6.08054;-0.966083;-0.193028;-0.168132;-0.0339951;-0.874976;-0.470331;-0.111745;-0.0267973;0.298476
ID;15;1.02744;1.58982;5.7654;0.731747;0.977841;5.67018;-0.677733;-0.511145;-0.498238;-0.176544;-0.881285;-0.367446;-0.292534;-0.0523834;0.347891
ID;16;0.193728;1.14909;6.21563;0.561778;0.472801;5.81598;-0.837771;-0.53882;-0.0707953;-0.0529225;-0.971101;-0.203885;-0.11525;-0.0459538;0.365323
ID;17;0.289218;1.17904;6.20103;0.357607;0.850519;6.07688;-0.826757;-0.546405;-0.102642;-0.0859034;-0.908326;-0.396267;-0.114787;-0.0688492;0.172357
ID;18;0.716352;1.56631;6.21692;0.381494;0.860798;6.08991;-0.671582;-0.652189;-0.269082;-0.226322;-0.904778;-0.400122;-0.118263;-0.0853998;0.403383
ID;19;0.876987;1.55655;6.07858;1.32867;1.56761;6.11897;-0.672259;-0.601869;-0.361428;-0.234927;-0.591545;-0.518265;-0.479382;-0.389447;0.226969
ID;20;0.708199;1.20934;5.80951;0.708869;1.46265;5.70154;-0.81704;-0.472085;-0.316728;-0.0962502;-0.742784;-0.533582;-0.401651;-0.0473146;0.137595
