ID;ID;phi1A;PHIA;phi2A;minDev;myDev;eulNew0;eulNew1;eulNew2;disoriANew
ID;0;0.38674;1.35106;6.08507;0.0174533;3.38514;0;1.5708;0;0.467996
ID;1;0.374662;1.41477;6.11891;0.0174533;1.95039;1.69917;2.71922;0.690797;0.828568
ID;2;0.43132;0.999371;6.11544;0.0174533;0.635027;0.452828;1.5309;6.25996;0.552499
ID;3;1.07795;1.66046;5.95411;0.0174533;2.33441;2.85835;2.3485;1.51131;0.535332
ID;4;0.259751;1.34486;6.06916;0.0174533;4.79621;0;1.5708;0;0.388621
ID;5;0.70502;0.982868;5.75521;0.0174533;1.97003;1.61398;2.06053;6.15336;0.7514
ID;6;0.979514;0.721148;5.70592;0.0174533;5.78616;0;1.5708;0;0.821444
ID;7;0.863299;1.65827;5.83378;0.0174533;1.77458;2.95903;2.7475;1.66179;0.871024
ID;8;0.747763;1.61601;5.92984;0.0174533;3.03888;0.985607;2.14362;6.09672;0.579906
ID;9;0.570163;1.33147;6.11203;0.0174533;1.45851;0.846404;2.19688;0.229912;0.789079
ID;10;0.612645;1.19946;6.13701;0.0174533;1.94061;0.374332;3.02157;5.60944;0.536545
ID;11;0.394244;0.516986;5.97846;0.0174533;1.63233;0.713043;1.41812;6.05898;0.92612
ID;12;0.56867;1.42385;6.20177;0.0174533;0.0967258;0.583208;1.51262;6.18396;0.0914077
ID;13;1.09238;1.45411;6.02509;0.0174533;3.6638;0;1.5708;0;0.567373
ID;14;0.898121;1.41615;5.62475;0.0174533;3.81015;0;1.5708;0;0.979871
ID;15;0.56062;1.40138;5.76638;0.0174533;5.08933;0;1.5708;0;0.743378
ID;16;0.987239;0.696159;5.78261;0.0174533;0.304426;1.0134;0.958487;5.86403;0.281032
ID;17;0.717512;0.742781;5.85949;0.0174533;4.66256;0;1.5708;0;0.796267
ID;18;0.648323;0.909628;5.75035;0.0174533;0.031438;0.661365;0.937152;5.7532;0.0313133
ID;19;0.594235;1.31296;5.94579;0.0174533;2.96727;0.924042;2.70188;0.0850142;0.538651
ID;20;1.09484;1.32829;5.88467;0.0174533;3.17375;0;1.5708;0;0.696627
ID;21;0.457894;1.16811;6.03207;0.0174533;6.1592;0;1.5708;0;0.619537
ID;22;0.966773;1.81461;5.77534;0.0174533;5.01299;0;1.5708;0;0.772368
ID;23;0.500315;0.980698;5.95731;0.0174533;3.35038;0;1.5708;0;0.77209
ID;24;0.787407;1.62103;5.92679;0.0174533;5.07349;0;1.5708;0;0.849992
ID;25;0.991142;1.61458;5.91879;0.0174533;5.32411;0;1.5708;0;0.676488
ID;26;0.548745;1.10264;5.87044;0.0174533;1.72985;0.702575;2.25756;6.09837;0.699492
ID;27;0.690187;1.21808;5.73208;0.0174533;0.104536;0.709234;1.29105;5.73052;0.075313
ID;28;0.588619;1.41664;6.13142;0.0174533;3.41053;0;1.5708;0;0.614898
ID;29;0.277214;1.38371;6.24747;0.0174533;0.0629953;0.283808;1.4439;6.25399;0.0610023
ID;30;0.993939;1.17839;6.01509;0.0174533;2.22179;1.32265;1.96347;0.336151;0.964464
ID;31;1.29925;1.51107;6.18303;0.0174533;4.68323;0;1.5708;0;0.29812
ID;32;0.191355;1.43893;6.26692;0.0174533;2.49876;0.260486;2.40211;6.25913;0.615171
ID;33;1.22852;1.39104;6.10876;0.0174533;6.0978;0;1.5708;0;0.435806
ID;34;0.890244;0.942534;5.7886;0.0174533;3.95175;0;1.5708;0;1.01643
ID;35;0.980551;1.28839;5.95695;0.0174533;3.57111;0;1.5708;0;0.763454
ID;36;0.573247;1.61977;6.07873;0.0174533;0.371433;0.610997;1.79897;6.08471;0.183043
ID;37;0.787212;1.44689;5.50918;0.0174533;5.64757;0;1.5708;0;1.06101
ID;38;0.48009;0.481433;5.86375;0.0174533;2.62842;1.70555;2.01235;0.0433323;0.482471
ID;39;0.78675;1.42004;5.57108;0.0174533;0.591358;0.949018;1.77298;5.65193;0.395469
ID;40;0.771263;1.50482;6.24717;0.0174533;2.29289;2.26359;2.61415;1.20474;0.622021
ID;41;0.450319;1.33556;5.93452;0.0174533;5.45938;0;1.5708;0;0.58243
ID;42;1.0914;1.48805;5.80465;0.0174533;1.66043;1.27901;2.28883;6.24727;0.897825
ID;43;1.0748;1.35613;6.04156;0.0174533;1.62555;1.84726;2.18378;0.658104;0.847966
ID;44;0.245328;1.48401;6.20642;0.0174533;2.74796;6.27718;2.99729;5.88899;0.157325
ID;45;1.15158;1.44519;6.03756;0.0174533;0.157063;1.1845;1.53363;6.10732;0.118916
ID;46;1.34766;1.51335;6.19509;0.0174533;3.63956;0;1.5708;0;0.248863
ID;47;0.852887;0.694382;5.64942;0.0174533;0.921758;1.21049;1.39108;5.85057;0.848823
ID;48;0.600415;1.03266;5.98553;0.0174533;1.26447;0.65712;1.67471;5.92185;0.646267
ID;49;1.01093;1.5111;6.09831;0.0174533;4.81964;0;1.5708;0;0.596968
ID;50;0.468367;1.09405;5.97609;0.0174533;0.554605;0.522767;1.37645;6.00847;0.29137
ID;51;0.965577;1.62756;5.90678;0.0174533;0.883996;1.10872;2.1255;0.035056;0.630639
ID;52;0.781223;1.55554;5.75564;0.0174533;1.22721;1.12933;2.55198;6.09679;0.96233
ID;53;0.430087;1.03071;5.90865;0.0174533;2.28623;0.740779;2.7284;5.83925;0.903105
ID;54;0.648342;0.823681;5.94849;0.0174533;1.13819;0.771391;1.65026;6.25149;0.86452
ID;55;1.21754;1.60025;6.13788;0.0174533;5.29401;0;1.5708;0;0.380829
ID;56;0.422188;0.455694;6.01258;0.0174533;0.224936;0.591123;0.640754;5.92358;0.211893
ID;57;0.924228;0.964124;5.67282;0.0174533;4.76999;0;1.5708;0;1.01009
ID;58;0.657901;1.63114;5.9911;0.0174533;3.41639;0;1.5708;0;0.728098
ID;59;0.758854;1.38892;5.57689;0.0174533;4.79981;0;1.5708;0;0.991607
ID;60;0.427409;0.963411;5.91109;0.0174533;6.00285;0;1.5708;0;0.76266
