1.5708
3.14159
0
eulerscatter testing
ID;ID;phi1A;PHIA;phi2A;minDev;myDev;eulNew0;eulNew1;eulNew2;disoriANew
ID;0;2.09786;2.74976;0.269503;0.0174533;3.38514;0;1.5708;0;0.467996
ID;1;1.73508;1.41477;1.19613;0.0174533;1.95039;2.27728;1.44688;2.65985;0.5385
ID;2;1.37086;0.366981;5.88102;0.0174533;0.635027;0.735534;0.749527;0.399572;0.552499
ID;3;1.93379;2.00673;0.253752;0.0174533;2.33441;3.03183;1.47264;1.91868;0.413884
ID;4;0.780549;0.295611;0.537051;0.0174533;4.79621;0;1.5708;0;0.388621
ID;5;2.43657;2.15872;5.75521;0.0174533;1.97003;3.58842;1.40753;0.378618;0.793475
ID;6;1.19498;2.50461;0.667204;0.0174533;5.78616;0;1.5708;0;0.821444
ID;7;1.14634;0.980561;0.547905;0.0174533;1.77458;1.64763;2.39763;1.57017;0.480119
ID;8;1.27799;1.36513;0.845392;0.0174533;3.03888;1.45867;1.75429;1.23706;0.579906
ID;9;1.55273;1.27806;1.02393;0.0174533;1.45851;1.585;1.54615;1.94541;0.696629
ID;10;1.73224;2.56771;6.0305;0.0174533;1.94061;3.53101;1.60657;1.89053;0.700111
ID;11;1.35555;2.94601;0.868086;0.0174533;1.63233;3.56982;2.32072;2.794;0.648866
ID;12;1.5606;1.73834;1.00727;0.0174533;0.0967258;1.58643;1.80139;1.07354;0.0914077
ID;13;1.86237;1.0798;6.26325;0.0174533;3.6638;0;1.5708;0;0.567373
ID;14;2.22923;1.72544;5.61051;0.0174533;3.81015;0;1.5708;0;0.979871
ID;15;0.677353;0.675144;0.576187;0.0174533;5.08933;0;1.5708;0;0.743378
ID;16;2.15949;0.689733;0.48618;0.0174533;0.304426;1.94998;0.768164;0.874242;0.281032
ID;17;2.42408;0.742781;0.423693;0.0174533;4.66256;0;1.5708;0;0.796267
ID;18;1.74834;0.505467;5.30765;0.0174533;0.031438;1.71792;0.516484;5.35944;0.0313133
ID;19;1.9082;1.82864;5.30662;0.0174533;2.96727;2.32783;1.68395;0.473306;0.47942
ID;20;1.54965;2.03346;0.520178;0.0174533;3.17375;0;1.5708;0;0.696627
ID;21;2.6837;1.97348;6.03207;0.0174533;6.1592;0;1.5708;0;0.619537
ID;22;1.03;1.98194;5.77028;0.0174533;5.01299;0;1.5708;0;0.772368
ID;23;2.29927;0.411039;6.21299;0.0174533;3.35038;0;1.5708;0;0.77209
ID;24;1.86103;1.78646;0.805978;0.0174533;5.07349;0;1.5708;0;0.849992
ID;25;1.14749;1.04868;0.267882;0.0174533;5.32411;0;1.5708;0;0.676488
ID;26;1.15805;1.10264;5.26113;0.0174533;1.72985;1.25506;1.98159;6.06737;0.922881
ID;27;2.1219;1.92352;5.40258;0.0174533;0.104536;2.16749;1.93415;5.47968;0.075313
ID;28;0.572365;1.78256;6.24076;0.0174533;3.41053;0;1.5708;0;0.614898
ID;29;1.50942;2.86881;0.130599;0.0174533;0.0629953;1.73539;2.87625;0.357033;0.0610023
ID;30;1.38811;1.13388;5.6934;0.0174533;2.22179;1.57306;1.69213;0.239602;0.913785
ID;31;1.6014;1.68329;6.01036;0.0174533;4.68323;0;1.5708;0;0.29812
ID;32;1.61869;2.9517;6.19766;0.0174533;2.49876;3.17954;2.19416;1.50081;0.631036
ID;33;1.74522;1.39104;0.342275;0.0174533;6.0978;0;1.5708;0;0.435806
ID;34;1.40783;2.45066;0.646787;0.0174533;3.95175;0;1.5708;0;1.01643
ID;35;1.24456;1.8532;0.590246;0.0174533;3.57111;0;1.5708;0;0.763454
ID;36;1.9189;2.52743;0.359595;0.0174533;0.371433;2.2141;2.5389;0.673511;0.183043
ID;37;0.796791;1.6947;0.783584;0.0174533;5.64757;0;1.5708;0;1.06101
ID;38;2.64712;0.215912;0.059153;0.0174533;2.62842;1.61306;1.39231;2.63152;0.57155
ID;39;0.625618;0.922244;0.498338;0.0174533;0.591358;0.774914;1.28361;0.522025;0.395469
ID;40;2.37079;1.49839;0.0201609;0.0174533;2.29289;2.56162;1.03865;1.51048;0.494217
ID;41;1.34262;1.924;5.0802;0.0174533;5.45938;0;1.5708;0;0.58243
ID;42;1.40574;2.02996;5.74576;0.0174533;1.66043;2.16221;2.48812;0.510967;0.897825
ID;43;1.49921;1.25678;5.77236;0.0174533;1.62555;2.00329;1.78706;0.565734;0.859091
ID;44;1.51709;1.67343;4.95162;0.0174533;2.74796;1.97239;1.91794;0.222686;0.51931
ID;45;1.81643;1.44519;0.419214;0.0174533;0.157063;1.84272;1.47224;0.529089;0.118916
ID;46;1.60728;1.66941;6.05931;0.0174533;3.63956;0;1.5708;0;0.248863
ID;47;0.937029;2.44721;0.71791;0.0174533;0.921758;2.81949;2.88992;2.22572;0.842805
ID;48;2.11502;0.507947;0.0717253;0.0174533;1.26447;1.43296;0.861659;0.969229;0.646267
ID;49;1.75567;1.5111;0.559867;0.0174533;4.81964;0;1.5708;0;0.596968
ID;50;2.2903;0.419769;6.10492;0.0174533;0.554605;1.69415;0.409477;0.539343;0.29137
ID;51;2.01222;1.03333;5.9848;0.0174533;0.883996;1.66286;1.09359;0.423737;0.630639
ID;52;2.09834;1.55554;0.789573;0.0174533;1.22721;2.26905;1.59349;1.82309;0.564965
ID;53;1.40571;2.19879;4.98395;0.0174533;2.28623;3.14607;1.97537;0.774648;0.709144
